data_ID,study_ID,title,year,authors,Reported,Direction,r,Checked Bec,Order,Genus,Species,animal,N,Mean,Min,Max,SD,Long,Lat
5,2,"Microclimate of American crocodile nests in Banco Chinchorro biosphere        reserve, Mexico: Effect on incubation length, embryos survival and        hatchlings sex",2012,"Charruau, P and Charruau, Pierre",r=0.16,+,0.16,Y,Crocodilia,crocodilus,acutus,Crocodylus_acutus,12,31.67,29.84,33.11,0.89,18.550354,-87.35919
6,3,Estimating the sex ratio of loggerhead turtle hatchlings at Mon Repos        rookery (Australia) from nest temperatures,2008,"Chu, CT and Booth, DT and Limpus, CJ and Chu, Cuong The and Booth, David T. and Limpus, Colin J.",r2 = 0.89,-,-0.943398113,Y,Testudines,caretta,caretta,Caretta_caretta,45,30.85,,,,-24.795699,152.441325
11,4,Thermal conditions in nests of loggerhead turtles: further evidence        suggesting female skewed sex ratios of hatchling production in the        Mediterranean,2001,"Godley, BJ and Broderick, AC and Downie, JR and Glen, F and Houghton, JDR and Kirkwood, I and Reece, S and Hays, GC and Godley, BJ and Broderick, AC and Downie, JR and Glen, F and Houghton, JDR and Kirkwood, I and Reece, S and Hays, GC",R2=0.43,-,-0.65574,Y. Was wrong.,Testudines,caretta,caretta,Caretta_caretta,23,31.61,29.5,33.2,0.98,35.2245313,33.6252379
38,5,"Nesting ecology of the American crocodile in La Encrucijada Biosphere        Reserve, Mexico",2016,"Gonzalez-Desales, GA and Monroy-Vilchis, O and Zarco-Gonzalez, MM and Charruau, P and Gonzalez-Desales, Giovany A. and Monroy-Vilchis, Octavio and Zarco-Gonzalez, Martha M. and Charruau, Pierre",R (spearman) = 0.2594,+,0.2708,"Emailed Spearmans correlations, then converted",Crocodilia,crocodilus,acutus,Crocodylus_acutus,7,32.1,24.3,36.5,1.68,15.31528,-92.8202
16,8,"biosfera La Encrucijada, México",2017,"Kobayashi, S and Wada, M and Fujimoto, R and Kumazawa, Y and Arai, K and Watanabe, G and Saito, T and Kobayashi, Shohei and Wada, Maoko and Fujimoto, Ryohei and Kumazawa, Yoshinori and Arai, Katsuhiko and Watanabe, Gen and Saito, Tomomi",r= -0.99,-,-0.99,"Correct, these were emailed to me from author",Testudines,caretta,caretta,Caretta_caretta,6,29.1,27.2,31,1.74,33.4674023,133.499799
28,11,"CONSERVATION TECHNIQUE OF THE GREEN TURTLE (Chelonia mydas L. 1758)        NESTS UNDER THE RISK OF TIDAL INUNDATION WITH HATCHERIES, ON SAMANDAG        BEACH, TURKEY",2013,"Sonmez, B and Ozdilek, ST and Sonmez, Bektas and Ozdilek, Sukran Talcm",,-,-0.0098133,Y. Checked in R,Testudines,chelonia,mydas,Chelonia_mydas,10,,,,,,
29,12,"Influence of sand grain size and nest microenvironment on incubation        success, hatchling morphology and locomotion performance of green        turtles (Chelonia mydas) at the Chagar Hutang Turtle Sanctuary, Redang        Island, Malaysia",2018,"Stewart, TA and Booth, DT and Rusli, MU and Stewart, Taylor A. and Booth, David T. and Rusli, Mohd Uzair",R2= -0.0643,-,-0.253574447,Y. Correct,Testudines,chelonia,mydas,Chelonia_mydas,30,31.1,30.6,31.9,0.2,5.812602,103.008604
31,18,"Hatch rates of loggerhead turtles and physical characteristics of the beach at Fethiye, Turkey",2003,"Turkozan, O and Ilgaz, C and Taskavak, E and Ozdemir, A and Turkozan, O and Ilgaz, C and Taskavak, E and Ozdemir, A",r=(Spearman)-0.547,-,-0.565018,Converted as below,Testudines,caretta,caretta,Caretta_caretta,19,30.48,28.4,31.9,0.25,36.638674,29.121448
34,21,"Sun exposure, nest temperature and loggerhead turtle hatchlings:        Implications for beach shading management strategies at sea turtle        rookeries",2014,"Wood, A and Booth, DT and Limpus, CJ and Wood, Apanie and Booth, David T. and Limpus, Colin J.",r2 = -0.75,-,-0.798,Y. correct,Testudines,caretta,caretta,Caretta_caretta,19,30.5,,,0.1,-24.666,152.45
36,22,Incubation temperature in the wild influences hatchling phenotype of two        freshwater turtle species,2014,"Riley, JL and Freedberg, S and Litzgus, JD and Riley, Julia L. and Freedberg, Steven and Litzgus, Jacqueline D.",R2= 0.3493,-,-0.59102,Y. checked in R,Testudines,chrysemys ,picta,Chrysemys_picta,20,22.81,19.55,24.7,0.29,45.58333,-78.5
37,22,Incubation temperature in the wild influences hatchling phenotype of two        freshwater turtle species,2014,"Riley, JL and Freedberg, S and Litzgus, JD and Riley, Julia L. and Freedberg, Steven and Litzgus, Jacqueline D.",R2= 0.7963,-,-0.8923,Y. Checked in R,Testudines,chelydra,serpentina,Chelydra_serpentina,47,23.21,20.83,24.94,0.16,45.58333,-78.5
1,23,"Temperature-sex determination in Podocnemis expansa (Testudines,        Podocnemididae)",2011,"Bonach, K and Malvasio, A and Matushima, ER and Verdade, LM and Bonach, Kelly and Malvasio, Adriana and Matushima, Eliana R. and Verdade, Luciano M.",r2=0.07447,+,0.273,"Y. Correct, checked in R",Testudines,emys,obicularis,Emys_orbicularis,7,30.04,28.4,31.2,0.95,-15.018922,-51.307707
2,24,Incubation periods and sex ratios of green turtles: highly female biased        hatchling production in the eastern Mediterranean,2000,"Broderick, AC and Godley, BJ and Reece, S and Downie, JR and Broderick, AC and Godley, BJ and Reece, S and Downie, JR",r2 = 0.79,-,-0.888819442,Y. Correct,Testudines,chelonia,mydas,Chelonia_mydas,18,30.9,29.8,32.5,0.73,35.2245313,33.6252379
3,25,Water temperature at oviposition sites of Rana luteiventris in        northeastern Oregon,2003,"Bull, EL and Shepherd, JF and Bull, EL and Shepherd, JF",r= 0.7944,-,-0.7944,Y,Anura,rana,luteiventris,Rana_luteiventris,13,10.16,8,15.7,1.95,45.021689,-118.278095
4,26,"Sex Ratio of Green Turtle (Chelonia mydas) Hatchlings at Sugozu, Turkey:        Higher Accuracy with Pivotal Incubation Duration",2016,"Candan, O and Kolankaya, D and C and an, Onur and Kolankaya, Durdane",r2 = 0.53,-,-0.728010989,Y. Was wrong.,Testudines,chelonia,mydas,Chelonia_mydas,12,30,28.3,31,0.91,36.826046,35.874078
7,27,"Effects of temperature on hatching success in field incubating nests of        spur-thighed tortoises, Testudo graeca",2006,"Diaz-Paniagua, C and Andreu, AC and Keller, C and Diaz-Paniagua, C. and Andreu, A. C. and Keller, C.",r=-0.375,-,-0.375,Y,Testudines,testudo,graeca,Testudo_graeca,56,27.9,23.5,30.5,1.6,37,-6.5
8,28,"Heat, health and hatchlings: associations of in situ nest temperatures        with morphological and physiological characteristics of loggerhead sea        turtle hatchlings from Florida",2020,"Fleming, KA and Perrault, JR and Stacy, NI and Coppenrath, CM and Gainsbury, AM and Fleming, Kelsey A. and Perrault, Justin R. and Stacy, Nicole, I and Coppenrath, Christina M. and Gainsbury, Alison M.",R2 = 0.93,-,-0.964365076,Y. Was wrong.,Testudines,caretta,caretta,Caretta_caretta,13,,,,,26.87822,-80.050635
9,29,"Incubation temperatures, sex ratio and hatching success of leatherback        turtles (Dermochelys coriacea) in two protected hatcheries on the        central Mexican coast of the Eastern Tropical Pacific Ocean",2019,"Garcia-Grajales, J and Hernando, JFM and Garcia, JLA and Fuentes, ER and Garcia-Grajales, J. and Meraz Hernando, J. F. and Arcos Garcia, J. L. and Ramirez Fuentes, E.",r = –0.97;,-,-0.7996,SJ location calculated in R,Testudines,Dermochelys,coriacea,Dermochelys_coriacea,26,30.66,,,,15.680115,-96.616595
10,29,"Incubation temperatures, sex ratio and hatching success of leatherback        turtles (Dermochelys coriacea) in two protected hatcheries on the        central Mexican coast of the Eastern Tropical Pacific Ocean",2019,"Garcia-Grajales, J and Hernando, JFM and Garcia, JLA and Fuentes, ER and Garcia-Grajales, J. and Meraz Hernando, J. F. and Arcos Garcia, J. L. and Ramirez Fuentes, E.",,-,-0.7011,P location calculated in R,Testudines,Dermochelys,coriacea,Dermochelys_coriacea,20,,,,,,
12,30,Temperature-dependent sex determination of Ascension Island green        turtles,2002,"Godley, BJ and Broderick, AC and Glen, F and Hays, GC and Godley, BJ and Broderick, AC and Glen, F and Hays, GC",r2 = 0.45,-,-0.670820393,Y. Was wrong.,Testudines,chelonia,mydas,Chelonia_mydas,32,29.9,28.5,31.6,0.91,-7.9444648,-14.3689334
14,31,de Caiman crocodilus chiapasius,2001,P. Charruau & M. M. Zarco–González,r2=0.89,-,-0.943398113,Y. Was wrong.,Testudines,caretta,caretta,Caretta_caretta,5,30.6,,,0.76,38.1523,20.55222
15,32,"(Bocourt, 1876) en la reserva de la",2014,"Kilic, C and C and an, O and Kilic, C. and C and an, O.",r = -0.846,-,-0.846,"Y. Changed to Pearson's r, which was also reported",Testudines,chelonia,mydas,Chelonia_mydas,8,30.6,28.1,32.6,1.41,36.826046,35.874078
17,33,"Nest temperature assessment in an American crocodile (Crocodylus acutus)        population on the central coast of Oaxaca, Mexico",2021,"Lara, RB and Grajales, JG and Ramirez, EM and Lara, Rene Barragan and Grajales, Jesus Garcia and Ramirez, Emilio Martinez",r = 0.66,+,0.66,Y. Correct,Crocodilia,crocodylus,acutus,Crocodylus_acutus,10,32.67,30.06,34.66,1.45,15.80413,-97.000607
18,34,Geographic variation in reproduction in a freshwater turtle (Clemmys        guttata),2006,"Litzgus, JD and Mousseau, TA and Litzgus, JD and Mousseau, TA",r2=0.52,-,-0.721110255,Y,Testudines,clemmys,guttata,Clemmys_guttata,21,,22.5,24.9,,33.220547,-80.354108
19,35,"Emergence Success and Sex Ratio of Natural and Relocated Nests of Olive        Ridley Turtles from Alas Purwo National Park, East Java, Indonesia",2012,"Maulany, RI and Booth, DT and Baxter, GS and Maulany, Risma I. and Booth, David T. and Baxter, Greg S.",r=-0.739,-,-0.739,"Y. Changed to Pearson's r, which was also reported",Testudines,lepidochelys,olivacea,Lepidochelys_olivacea,109,31.3,28.6,33.6,0.72,-38.775925,143.664459
20,36,Nesting ecology of the critically endangered fijian crested iguana brachylophus vitiensis in a pacific tropical dry forest,2009,"Morrison, S.E., Harlow, P.S., Keogh, J.S.",r = 0.68,+,0.68,Y. Was wrong. Actually positive.,Squamata,brachylophus,vitiensis,Brachylophus_vitiensis,11,24.5,23.48,25.18,0.59,-16.833333,178.333333
21,37,Nest temperatures and sex-ratio estimates of loggerhead turtles at        Patara beach on the southwestern coast of Turkey,2004,"Oz, M and Erdogan, A and Kaska, Y and Dusen, S and Aslan, A and Sert, H and Yavuz, M and Tunc, MR and Oz, M and Erdogan, A and Kaska, Y and Dusen, S and Aslan, A and Sert, H and Yavuz, M and Tunc, MR",r2 = -0.98,-,-0.989949494,"Y. Correct. Reported in paper, page 97 last paragraph, doesnt seem to include Kaksa",Testudines,caretta,caretta,Caretta_caretta,4,29.9,28.8,30.7,0.78,36.27261,29.287845
22,38,"The effect of the predicted air temperature change on incubation        temperature, incubation duration, sex ratio and hatching success of        loggerhead turtles",2011,"Ozdemir, A and Ilgaz, C and Durmus, SH and Guclu, O and Ozdemir, Adem and Ilgaz, Cetin and Durmus, Salih Hakan and Guclu, Ozgur",R 2 = 0.38,-,-0.6164414,Y. Was wrong.,Testudines,caretta,caretta,Caretta_caretta,19,28.99,,,1.2204917,36.800482,28.605463
23,39,"Effect of nest temperature on hatchling phenotype of loggerhead turtles        (Caretta caretta) from two South Pacific rookeries, Mon Repos and La        Roche Percee",2012,"Read, T and Booth, DT and Limpus, CJ and Read, Tyffen and Booth, David T. and Limpus, Colin J.",r2= 0.476,-,-0.6899,"Y, checked in R. MP location",Testudines,caretta,caretta,Caretta_caretta,11,31.8,,,0.2,-21.613929,165.463682
24,39,"Effect of nest temperature on hatchling phenotype of loggerhead turtles        (Caretta caretta) from two South Pacific rookeries, Mon Repos and La        Roche Percee",2012,"Read, T and Booth, DT and Limpus, CJ and Read, Tyffen and Booth, David T. and Limpus, Colin J.",r2=0.1279,-,-0.357631,"Y, checked in R. RP location",Testudines,caretta,caretta,Caretta_caretta,16,,,,,,
25,40,Artificial and natural shade: Implications for green turtle (Chelonia        mydas) rookery management,2021,"Reboul, I and Booth, D and Rusli, U and Reboul, Isabella and Booth, David and Rusli, Uzair",r2 = 0.85,-,-0.921954446,Y,Testudines,chelonia,mydas,Chelonia_mydas,29,32.5,31.6,33,0.2,5.812602,103.008604
26,41,The influence of natural incubation environments on the phenotypic        traits of hatchling lizards,1997,"Shine, R and Elphick, MJ and Harlow, PS and Shine, R and Elphick, MJ and Harlow, PS",R=-0.74,-,-0.74,Y,Squamata,bassiana,duperreyi,Bassiana_duperreyi,19,,16.8,20.1,,-35.53333,148.7666
27,42,"Temperature incubation and sex ratio in newly hatched newborns of the hawksbill turtle Eretmochelys imbricata (Linnaeus, 1766) in the municipality of Ipojuca, Pernambuco, Brazil ",2014,"Simoes, T.N., da Silva, A.C., dos Santos, E.M., Chagas, C.A.",r(Spearman) = -0.8087,-,-0.821788,Converted as below,Testudines,eretmochelys,imbricata,Eretmochelys_imbricata,9,31.68,29.11,32.93,0.77,-8.401667,-35.0625
30,43,RELOCATING GREEN TURTLE (CHELONIA MYDAS) EGGS TO OPEN BEACH AREAS        PRODUCES HIGHLY FEMALE-BIASED HATCHLINGS,2021,"Tolen, N and Rusli, MU and Booth, DT and Tolen, Nicholas and Rusli, Mohd Uzair and Booth, David T.",r = ˗0.79,-,-0.79,Y. Correct. ,Testudines,chelonia,mydas,Chelonia_mydas,22,29.2,28.25,31.14,1.1,5.812826,103.008454
32,44,"Effects of hatchery shading and nest depth on the development and        quality of Chelonia mydas hatchlings: implications for hatchery        management in Peninsular, Malaysia",2005,"van de Merwe, J and Ibrahim, K and Whittier, J and van de Merwe, J and Ibrahim, K and Whittier, J",R2 = -0.83,-,-0.911043358,"Y. Correct,",Testudines,chelonia,mydas,Chelonia_mydas,18,,28,30,,4.540257,103.471181
33,45,"Biotic and abiotic factors affect the nest environment of embryonic        leatherback turtles, Dermochelys coriacea",2004,"Wallace, BP and Sotherl and , PR and Spotila, JR and Reina, RD and Franks, BF and Paladino, FV and Wallace, BP and Sotherl and , PR and Spotila, JR and Reina, RD and Franks, BF and Paladino, FV",𝑅2=0.489,-,-0.699285349,Y. Correct,Testudines,dermochelys,coriacea,Dermochelys_coriacea,7,33.6,32.1,36.1,0.22,-11.59,144.0347
35,46,Metabolic heating in Mediterranean loggerhead sea turtle clutches,2006,"Zbinden, JA and Margaritoulis, D and Arlettaz, R and Zbinden, JA and Margaritoulis, D and Arlettaz, R",R2 = -0.502,-,-0.708519583,Y. Correct,Testudines,caretta,caretta,Caretta_caretta,20,30.09,28.5,31.1,0.68,37.822,20.811
13,47,Aspectos ecológicos de la anidación,2016,"González–Desales, G.A., O. Monroy–Vilchis,",,+,0.6251,"Emailed Spearmans correlations, then converted",Crocodilia,caiman,crocodilus chaipasius,Caiman_crocodilus_chiapasius,7,31.5,27.07,35.9,1.94,,